"","ID","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","x1_p","x2_p","x3_p","x4_p","x5_p","x6_p","x7_p","x8_p","x9_p","x10_p","x11_p","pred.asli","pred.disk","pred.asli1","pred.disk1"
"18108",18108,446,19392,29,0.684482375,0.995884774,2461,0.659115961,0,0,9.7,5,0,2,2,3,1,5,3,1,1,1,5,5,1,1,0,0
"37750",37750,253,32743,106,0.731470412,1,2178,0.987654321,0,686,15.7,2.7,0,2,2,3,1,5,3,2,1,1,5,4,1,1,0,0
"450",450,1,1547,3,0.783333333,0.966666667,325,1,1837,37501,3.7,2.3,0,1,1,2,2,3,2,3,5,4,3,3,1,1,0,0
"3513",3513,40,62758,50,0.70141773,0.981844305,2153,1,0,0,14.3,2.3,0,2,4,3,1,4,3,3,1,1,5,3,1,1,0,0
"43446",43446,47,62720,31,0.76795987,0.860371437,4222,0.784882644,983,53565,6.7,6,0,2,4,3,1,2,3,1,4,5,4,5,1,1,0,0
"11702",11702,1902,87218,125,0.735039734,0.999293785,6031,0.923585187,0,20,26,13.7,0,2,4,3,1,5,3,1,1,1,5,5,1,1,0,0
"48572",48572,1,7699,10,0.686243386,0.552380952,19894,0.787968175,0,5943,11,3.7,0,1,1,3,1,2,4,1,1,2,5,5,1,1,0,0
"20487",20487,184,22726,27,0.578354298,0.981236897,5639,0.969444444,0,0,10.3,4,0,2,2,3,1,4,3,2,1,1,5,5,1,1,0,0
"17544",17544,96,37240,14,0.540131579,0.861572967,4531,0.543768955,239,22222,4.3,2,1,2,2,3,1,2,3,1,3,3,3,3,1,1,0,0
"21673",21673,13,11810,12,0.915151515,0.959259259,3144,0.992424242,220,20026,8.7,5,0,2,2,3,3,3,3,2,3,3,5,5,1,1,0,0
"32566",32566,0,643,1,0.5,1,5592,0.180615212,1672,68397,5,3.3,0,1,1,2,1,5,3,1,5,6,3,4,1,1,0,0
"16440",16440,5,6425,8,0.731536517,1,3217,0.988888889,13925,122837,13.7,7.7,0,2,1,3,1,5,3,2,6,6,5,5,1,1,0,0
"40068",40068,236,71927,85,0.788963578,0.972352779,4361,0.732597568,1,5100,12.3,6.3,0,2,4,3,2,4,3,1,1,2,5,5,1,1,0,0
